TradeDate,Node,HE,DA_LMP,DA_MCC,DA_MLC,RT_MCC,RT_MLC,LMP_DELTA,MCC_DELTA,MLC_DELTA,Region,Planned,Actual,Outage
12/29/2017,ALTE.ALTE,1,28.8,-0.11,-0.07,1.94,-0.32,1.12,2.05,-0.25,North,18636,18492,4360
12/29/2017,ALTE.ALTE,2,27.24,-0.47,0.18,0.32,-0.25,-3.6,0.79,-0.43,North,18064,17940,4360
12/29/2017,ALTE.ALTE,3,27.52,-0.57,0.2,0.37,-0.24,-2.99,0.94,-0.44,North,17667,17568,4360
12/29/2017,ALTE.ALTE,4,27.83,-0.73,0.2,0.25,-0.35,0.17,0.98,-0.55,North,17472,17421,4360
12/29/2017,ALTE.ALTE,5,28.53,-0.74,0.21,1.1,-0.47,2.52,1.84,-0.68,North,17464,17315,4360
12/29/2017,ALTE.ALTE,6,31.62,0.34,-0.44,1.84,-0.41,-1.55,1.5,0.03,North,17745,17608,4360
12/29/2017,ALTE.ALTE,7,38.13,1.48,-0.52,1.56,-0.31,-9.2,0.08,0.21,North,18543,18169,4360
12/29/2017,ALTE.ALTE,8,52.05,2.61,-0.2,0.98,-0.06,-22.69,-1.63,0.14,North,19717,19147,4360
12/29/2017,ALTE.ALTE,9,51.64,3.89,-1.49,2.68,-0.03,-13.06,-1.21,1.46,North,20582,19936,4360
12/29/2017,ALTE.ALTE,10,50.91,3.5,0.47,4.61,-0.07,-1.68,1.11,-0.54,North,20851,20239,4360
12/29/2017,ALTE.ALTE,11,46.24,2.73,0.42,-0.17,0.13,-14.89,-2.9,-0.29,North,21000,20492,4360
12/29/2017,ALTE.ALTE,12,46.92,3.44,-0.19,0.01,0.11,2.97,-3.43,0.3,North,20922,20670,4360
12/29/2017,ALTE.ALTE,13,40.76,2.45,0.29,0.02,0.02,-5.46,-2.43,-0.27,North,20738,20557,4360
12/29/2017,ALTE.ALTE,14,36.85,1.65,0.38,0.01,0.07,-7.1,-1.64,-0.31,North,20532,20463,4360
12/29/2017,ALTE.ALTE,15,34.74,1.73,0.36,0.01,0.22,-7.07,-1.72,-0.14,North,20391,20427,4360
12/29/2017,ALTE.ALTE,16,32.17,1.26,0.32,0,0.24,-5.15,-1.26,-0.08,North,20246,20214,4360
12/29/2017,ALTE.ALTE,17,33.61,1.22,0.33,0,0.2,-5.43,-1.22,-0.13,North,20217,20161,4360
12/29/2017,ALTE.ALTE,18,47.43,2.92,0.36,0.04,0.23,-12.48,-2.88,-0.13,North,20657,20537,4360
12/29/2017,ALTE.ALTE,19,54.75,3.27,0.26,9.16,0.38,1.87,5.89,0.12,North,21421,21272,4290
12/29/2017,ALTE.ALTE,20,43.44,1.18,0.23,0.67,0.08,-12.8,-0.51,-0.15,North,21159,21087,4290
12/29/2017,ALTE.ALTE,21,37.3,0.43,0.32,1.45,-0.13,-3.01,1.02,-0.45,North,20751,20878,4290
12/29/2017,ALTE.ALTE,22,33.24,0.16,0.28,2.51,-0.18,1.39,2.35,-0.46,North,20359,20566,4290
12/29/2017,ALTE.ALTE,23,31.35,-0.06,-0.16,4.22,-0.26,6.24,4.28,-0.1,North,19936,20016,4290
12/29/2017,ALTE.ALTE,24,27.63,-0.01,0.68,16.02,-1.12,45.57,16.03,-1.8,North,19258,19382,4390
